20220408,,2558 0.50,3410 8.70,260 3.07,86 1.67,59 1.61,48 1.82,18 0.95,13 0.93,30 3.09,17 3.93,11 4.87,11 8.68,4 4.21,1 1.42,11 54.47
20220401,131.5,2584 0.52,3432 8.84,267 3.17,83 1.62,55 1.52,51 1.94,22 1.15,8 0.57,28 2.92,18 4.08,10 4.35,9 6.88,6 6.15,1 1.42,11 54.79
20220325,,2502 0.52,3408 8.89,262 3.09,82 1.58,49 1.35,52 1.96,17 0.88,11 0.78,27 2.82,17 3.89,12 5.16,8 6.24,5 5.13,2 2.64,11 55.00
20220318,,2475 0.51,3399 8.85,261 3.10,84 1.62,46 1.27,54 2.02,16 0.84,10 0.71,26 2.68,18 3.97,10 4.37,9 6.99,5 5.13,2 2.64,11 55.20
20220311,121.5,2481 0.51,3470 9.03,266 3.14,86 1.66,48 1.32,53 2.01,17 0.90,11 0.78,26 2.74,16 3.63,10 4.37,9 7.00,5 5.13,3 4.05,10 53.63
20220304,,2498 0.52,3473 8.96,263 3.11,87 1.65,48 1.31,52 1.99,17 0.90,11 0.78,27 2.85,16 3.56,10 4.37,8 6.20,6 6.06,3 4.01,10 53.66
20220225,124.5,2493 0.51,3471 8.97,269 3.19,86 1.63,47 1.29,51 1.95,18 0.95,10 0.71,28 2.99,15 3.40,10 4.37,8 6.30,6 6.06,3 3.86,10 53.73
20220218,,2464 0.51,3371 8.63,249 2.95,83 1.58,49 1.33,51 1.94,22 1.17,12 0.84,25 2.65,15 3.32,11 4.71,7 5.40,6 6.06,4 5.10,10 53.73
20220211,127.5,2450 0.51,3326 8.54,255 3.03,77 1.50,43 1.17,54 2.04,18 0.95,8 0.56,27 2.90,16 3.57,9 4.01,5 3.78,7 7.14,3 4.03,11 56.20
20220128,,2450 0.51,3301 8.49,253 3.04,79 1.54,42 1.14,52 1.96,19 0.99,8 0.56,27 2.89,16 3.56,9 4.01,5 3.78,7 7.14,3 4.03,11 56.28
20220122,,2460 0.51,3317 8.48,256 3.04,80 1.56,42 1.15,48 1.81,23 1.21,6 0.42,27 2.89,17 3.71,9 4.01,5 3.78,7 7.14,3 4.03,11 56.19
20220114,126.5,2467 0.51,3343 8.57,245 2.93,82 1.59,45 1.23,45 1.70,24 1.27,6 0.42,28 3.02,16 3.52,9 4.01,5 3.78,7 7.14,3 4.03,11 56.21
20220107,127.5,2458 0.50,3368 8.61,246 2.93,77 1.50,44 1.22,51 1.95,20 1.07,8 0.56,27 2.86,16 3.59,9 4.01,5 3.78,7 7.14,3 4.03,11 56.18
