20220318,87 0.00,425 0.99,74 0.80,19 0.31,16 0.38,14 0.47,11 0.51,4 0.24,13 1.10,3 0.68,4 1.19,0 0.00,2 1.68,0 0.00,5 91.57
20220311,86 0.00,450 1.04,70 0.75,20 0.33,16 0.38,16 0.54,10 0.46,6 0.35,10 0.83,5 1.13,3 0.92,1 0.75,1 0.87,0 0.00,5 91.57
20220304,75 0.00,467 1.14,75 0.79,28 0.47,16 0.38,15 0.52,10 0.44,3 0.18,14 1.16,4 0.95,4 1.46,0 0.00,1 0.87,0 0.00,5 91.57
20220225,77 0.00,466 1.13,76 0.80,29 0.48,14 0.34,18 0.63,8 0.36,4 0.24,14 1.20,5 1.15,3 1.17,0 0.00,1 0.87,0 0.00,5 91.57
20220218,76 0.00,480 1.16,76 0.81,30 0.50,15 0.36,17 0.59,7 0.31,3 0.18,14 1.23,5 1.19,3 1.15,0 0.00,1 0.87,0 0.00,5 91.57
20220211,77 0.00,479 1.15,76 0.82,24 0.40,15 0.36,18 0.63,7 0.31,3 0.18,13 1.14,7 1.65,2 0.86,0 0.00,1 0.87,0 0.00,5 91.57
20220128,77 0.00,479 1.15,76 0.82,24 0.40,15 0.36,18 0.62,7 0.31,3 0.18,13 1.14,7 1.65,2 0.86,0 0.00,1 0.87,0 0.00,5 91.57
20220122,79 0.00,479 1.14,71 0.76,27 0.46,15 0.36,18 0.61,8 0.36,4 0.23,13 1.14,7 1.65,2 0.87,0 0.00,1 0.87,0 0.00,5 91.48
20220114,79 0.00,484 1.15,72 0.77,28 0.47,15 0.36,18 0.62,9 0.40,4 0.23,13 1.14,7 1.65,2 0.87,0 0.00,1 0.87,0 0.00,5 91.39
20220107,79 0.00,483 1.15,74 0.79,29 0.49,15 0.36,17 0.58,9 0.40,5 0.30,13 1.14,6 1.40,3 1.15,0 0.00,1 0.87,0 0.00,5 91.32
20211230,78 0.00,490 1.17,75 0.79,27 0.45,18 0.43,17 0.58,9 0.40,6 0.36,12 1.07,6 1.38,3 1.20,0 0.00,1 0.87,0 0.00,5 91.21
20211224,77 0.00,496 1.19,75 0.80,27 0.45,18 0.43,17 0.58,9 0.40,5 0.30,13 1.13,6 1.38,3 1.23,0 0.00,1 0.87,0 0.00,5 91.17
20211217,75 0.00,497 1.20,76 0.81,27 0.45,19 0.46,18 0.62,8 0.36,5 0.30,13 1.13,6 1.38,3 1.28,0 0.00,1 0.87,0 0.00,5 91.10
20211210,75 0.00,510 1.24,79 0.84,24 0.40,18 0.44,20 0.67,9 0.41,5 0.29,14 1.20,5 1.18,3 1.32,0 0.00,1 0.87,0 0.00,5 91.08
