20220318,7713 0.39,4407 8.88,991 7.13,303 3.43,232 3.90,182 4.16,87 2.79,77 3.17,143 9.18,59 7.38,37 8.97,15 6.27,9 5.67,4 3.12,15 25.50
20220311,7723 0.39,4590 9.28,1001 7.24,311 3.52,240 4.05,190 4.36,93 2.95,74 3.03,135 8.72,63 8.04,36 9.22,14 5.97,8 5.16,4 3.23,14 24.78
20220304,7728 0.39,4637 9.48,1059 7.66,327 3.72,247 4.14,196 4.48,92 2.92,74 3.02,144 9.30,61 7.62,34 8.51,14 5.83,10 6.31,3 2.40,13 24.14
20220225,7727 0.39,4722 9.67,1081 7.80,343 3.88,245 4.10,197 4.49,98 3.12,71 2.91,141 9.07,61 7.40,35 8.64,14 5.97,10 6.19,3 2.40,13 23.89
20220218,7733 0.40,4779 9.74,1092 7.88,330 3.72,251 4.21,194 4.43,96 3.05,75 3.08,139 8.90,61 7.39,36 8.82,14 5.88,10 6.22,3 2.39,13 23.83
20220211,7724 0.39,4853 9.98,1114 8.04,343 3.88,253 4.25,205 4.67,101 3.22,72 2.97,153 9.69,60 7.39,32 7.91,16 6.71,9 5.55,3 2.39,12 22.88
20220128,7713 0.39,4949 10.18,1153 8.34,360 4.07,262 4.39,205 4.65,97 3.08,74 3.06,155 9.87,60 7.25,32 7.91,14 5.86,9 5.60,3 2.39,12 22.87
20220122,7720 0.39,4981 10.22,1168 8.44,350 3.94,262 4.38,208 4.73,100 3.19,78 3.24,154 9.77,60 7.22,32 7.93,14 5.86,9 5.58,3 2.39,12 22.65
20220114,7729 0.39,4934 10.08,1181 8.51,342 3.87,266 4.46,206 4.72,99 3.16,84 3.47,149 9.59,59 7.23,32 8.03,14 5.89,9 5.62,3 2.39,12 22.52
20220107,7736 0.39,4992 10.20,1134 8.19,352 3.98,257 4.31,195 4.49,98 3.12,81 3.35,148 9.61,59 7.12,32 8.05,15 6.44,8 5.06,4 3.23,12 22.39
20211230,7748 0.39,4905 9.95,1080 7.82,341 3.87,258 4.34,186 4.29,101 3.23,83 3.42,141 9.12,62 7.46,33 8.07,17 7.28,8 5.03,3 2.50,13 23.14
