20220401,38.900,115 0.02,2006 4.43,150 1.73,48 0.90,37 0.98,36 1.34,14 0.69,12 0.79,26 2.71,5 0.91,0 0.00,1 0.70,0 0.00,1 1.29,13 83.45
20220325,39.549,120 0.01,2016 4.41,147 1.70,46 0.85,41 1.09,37 1.35,16 0.77,10 0.66,26 2.65,4 0.64,1 0.33,1 0.70,0 0.00,1 1.29,13 83.45
20220318,37.900,107 0.02,2027 4.31,127 1.48,48 0.90,31 0.83,36 1.35,13 0.64,12 0.80,27 2.69,5 0.80,2 0.87,1 0.70,0 0.00,1 1.29,13 83.25
20220311,40.5,63 0.01,2278 4.13,97 1.13,34 0.65,28 0.75,37 1.37,11 0.54,6 0.40,23 2.33,11 2.02,1 0.32,2 1.29,0 0.00,1 1.29,13 83.71
20220304,52.099,57 0.01,206 0.67,30 0.39,6 0.13,13 0.39,15 0.59,6 0.33,4 0.31,8 0.82,1 0.19,1 0.47,0 0.00,0 0.00,1 1.46,13 94.19
20220225,56.700,51 0.01,180 0.60,30 0.40,6 0.13,12 0.35,15 0.58,4 0.21,5 0.37,9 0.91,1 0.19,0 0.00,0 0.00,0 0.00,1 1.46,13 94.75
20220218,57.799,49 0.01,176 0.58,30 0.40,8 0.17,8 0.24,17 0.66,4 0.22,5 0.37,8 0.86,1 0.19,0 0.00,0 0.00,0 0.00,1 1.46,13 94.78
20220211,62.900,48 0.01,150 0.49,33 0.44,7 0.15,11 0.33,12 0.47,5 0.26,6 0.44,8 0.89,1 0.19,0 0.00,0 0.00,0 0.00,1 1.46,13 94.82
20220128,,42 0.00,134 0.44,32 0.44,6 0.13,9 0.27,13 0.50,5 0.27,6 0.44,7 0.76,2 0.35,0 0.00,0 0.00,0 0.00,1 1.46,13 94.87
20220122,,44 0.00,127 0.43,29 0.39,6 0.13,9 0.27,13 0.50,4 0.21,5 0.36,9 0.95,2 0.35,0 0.00,0 0.00,0 0.00,1 1.46,13 94.87
20220114,,43 0.00,119 0.39,29 0.39,7 0.16,9 0.27,13 0.50,5 0.27,3 0.22,11 1.22,2 0.35,0 0.00,0 0.00,0 0.00,1 1.46,9 94.70
20220107,63.200,44 0.01,120 0.38,29 0.39,7 0.16,9 0.27,13 0.51,5 0.27,3 0.22,11 1.23,2 0.35,0 0.00,0 0.00,0 0.00,1 1.46,9 94.70
20211230,68.300,34 0.00,119 0.39,26 0.35,8 0.18,10 0.30,12 0.46,3 0.14,3 0.22,11 1.21,3 0.53,0 0.00,0 0.00,0 0.00,1 1.46,9 94.70
20211224,60.299,31 0.00,110 0.35,29 0.38,7 0.16,10 0.30,12 0.47,3 0.15,3 0.22,11 1.21,3 0.55,0 0.00,0 0.00,0 0.00,1 1.46,9 94.70
20211217,,30 0.00,107 0.34,30 0.40,7 0.16,9 0.27,12 0.48,3 0.15,3 0.22,11 1.21,3 0.56,0 0.00,0 0.00,0 0.00,1 1.46,9 94.70
20211210,60.299,31 0.00,109 0.34,27 0.36,7 0.16,9 0.27,12 0.49,3 0.15,3 0.23,11 1.23,3 0.57,0 0.00,0 0.00,0 0.00,1 1.46,9 94.70
20211203,,26 0.00,97 0.31,25 0.32,6 0.13,9 0.27,14 0.57,4 0.21,2 0.15,10 1.09,4 0.74,0 0.00,0 0.00,0 0.00,1 1.46,9 94.70
20211126,50.099,27 0.00,97 0.30,25 0.33,6 0.13,9 0.27,13 0.52,4 0.22,2 0.15,10 1.08,4 0.74,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20211119,,24 0.00,98 0.30,25 0.33,6 0.13,9 0.27,13 0.52,4 0.22,2 0.15,10 1.09,4 0.74,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20211112,,25 0.00,90 0.28,25 0.33,6 0.13,9 0.27,13 0.52,3 0.16,3 0.22,10 1.11,4 0.74,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20211105,53.200,23 0.00,81 0.27,26 0.34,6 0.13,9 0.27,13 0.51,3 0.16,3 0.22,10 1.11,4 0.74,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20211029,47.049,17 0.00,78 0.28,27 0.34,6 0.13,12 0.36,11 0.45,3 0.15,2 0.15,10 1.11,4 0.77,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20211022,,16 0.00,76 0.27,26 0.34,7 0.15,10 0.30,12 0.49,2 0.09,3 0.23,10 1.11,4 0.77,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20211015,44.5,16 0.00,76 0.27,26 0.34,7 0.15,10 0.30,12 0.49,2 0.09,3 0.23,10 1.12,4 0.76,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20211008,44.5,16 0.00,76 0.27,26 0.34,7 0.15,10 0.30,12 0.49,2 0.09,3 0.23,10 1.12,4 0.76,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20211001,44.900,16 0.00,76 0.27,27 0.35,6 0.13,10 0.30,12 0.49,2 0.09,3 0.23,11 1.28,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20210924,44.200,16 0.00,77 0.28,26 0.34,6 0.13,10 0.30,12 0.49,2 0.09,3 0.23,11 1.29,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
20210917,,16 0.00,75 0.27,26 0.34,6 0.13,10 0.30,12 0.49,2 0.09,3 0.23,11 1.30,3 0.60,0 0.00,0 0.00,0 0.00,1 1.46,9 94.75
