20220318,47.200
20220311,47.150,3799 0.25,7052 5.54,1126 3.27,428 2.10,201 1.45,216 2.12,97 1.34,61 1.12,96 2.59,52 2.95,7 0.78,5 0.97,0 0.00,0 0.00,11 75.46
20220304,47.450,3798 0.25,7123 5.59,1121 3.27,433 2.13,197 1.41,214 2.10,95 1.31,65 1.19,101 2.74,48 2.75,7 0.78,5 0.97,0 0.00,0 0.00,11 75.45
20220225,,3811 0.25,7202 5.65,1132 3.29,436 2.14,201 1.44,213 2.09,98 1.35,63 1.15,103 2.77,44 2.51,8 0.87,5 0.97,0 0.00,0 0.00,11 75.45
20220218,45.349,3810 0.25,7218 5.67,1127 3.28,434 2.13,201 1.43,214 2.10,99 1.36,62 1.13,104 2.79,44 2.51,8 0.87,5 0.97,0 0.00,0 0.00,11 75.45
20220211,45.150,3803 0.25,7206 5.67,1131 3.28,437 2.15,198 1.42,216 2.12,97 1.34,61 1.11,102 2.70,45 2.54,9 0.95,5 0.97,0 0.00,0 0.00,11 75.44
20220128,,3806 0.25,7203 5.68,1130 3.28,432 2.12,199 1.42,216 2.12,99 1.37,60 1.09,101 2.68,45 2.54,9 0.98,5 0.97,0 0.00,0 0.00,11 75.44
20220122,,3810 0.25,7201 5.67,1132 3.30,432 2.12,197 1.41,216 2.12,99 1.36,60 1.09,100 2.65,46 2.59,9 0.98,5 0.97,0 0.00,0 0.00,11 75.43
20220114,45.099,3803 0.25,7206 5.67,1137 3.31,433 2.13,197 1.41,218 2.13,100 1.37,60 1.09,98 2.62,46 2.61,9 0.95,5 0.97,0 0.00,0 0.00,11 75.42
20220107,45.099,3809 0.25,7197 5.66,1140 3.32,433 2.12,196 1.40,219 2.15,100 1.38,59 1.07,99 2.64,46 2.62,9 0.95,5 0.97,0 0.00,0 0.00,11 75.42
20211230,45.349,3819 0.25,7206 5.66,1134 3.29,439 2.16,196 1.40,217 2.13,99 1.37,59 1.07,100 2.68,45 2.59,9 0.95,5 0.97,0 0.00,0 0.00,11 75.42
20211224,45.150,3814 0.25,7241 5.69,1137 3.30,435 2.14,197 1.40,218 2.15,99 1.37,58 1.05,100 2.69,44 2.55,9 0.95,5 0.97,0 0.00,0 0.00,11 75.41
20211217,44.700,3818 0.25,7242 5.68,1137 3.30,437 2.15,196 1.40,220 2.17,98 1.36,59 1.07,101 2.73,43 2.50,9 0.95,5 0.97,0 0.00,0 0.00,11 75.41
20211210,44.700,3823 0.25,7252 5.69,1137 3.30,440 2.17,195 1.39,220 2.16,96 1.33,61 1.11,101 2.71,43 2.49,9 0.96,5 0.97,0 0.00,0 0.00,11 75.40
20211203,44.700,3828 0.25,7240 5.68,1135 3.29,446 2.20,195 1.39,220 2.16,96 1.33,60 1.09,101 2.74,43 2.48,9 0.97,5 0.97,0 0.00,0 0.00,11 75.39
20211126,44.450,3821 0.25,7202 5.64,1120 3.24,449 2.21,195 1.39,220 2.16,96 1.34,61 1.11,101 2.72,47 2.71,8 0.81,5 0.97,0 0.00,0 0.00,11 75.38
20211119,44.849,3819 0.25,7179 5.62,1121 3.25,445 2.19,195 1.39,217 2.13,98 1.36,57 1.04,99 2.70,47 2.73,9 0.93,5 0.97,0 0.00,0 0.00,11 75.38
20211112,,3823 0.25,7175 5.63,1116 3.24,447 2.20,196 1.40,216 2.13,100 1.38,57 1.04,96 2.59,47 2.72,10 1.03,5 0.97,0 0.00,0 0.00,11 75.36
20211105,45.200,3821 0.25,7153 5.60,1120 3.26,446 2.19,195 1.39,221 2.18,101 1.40,59 1.07,96 2.58,46 2.66,10 1.04,5 0.97,0 0.00,0 0.00,11 75.35
20211029,45.049,3834 0.25,7171 5.62,1122 3.27,443 2.18,196 1.40,223 2.20,103 1.42,56 1.02,95 2.56,46 2.66,10 1.05,5 0.97,0 0.00,0 0.00,11 75.35
20211022,45.349,3830 0.25,7189 5.63,1121 3.26,444 2.18,197 1.40,223 2.19,104 1.44,56 1.02,95 2.55,48 2.76,9 0.95,5 0.97,0 0.00,0 0.00,11 75.34
20211015,45.049,3827 0.25,7203 5.64,1114 3.24,447 2.20,199 1.42,224 2.20,103 1.42,57 1.03,95 2.57,47 2.71,9 0.95,5 0.97,0 0.00,0 0.00,11 75.33
20211008,44.849,3818 0.25,7205 5.64,1120 3.26,445 2.19,196 1.39,226 2.22,106 1.46,58 1.05,93 2.51,47 2.72,9 0.95,5 0.97,0 0.00,0 0.00,11 75.32
20211001,44.700,3817 0.25,7201 5.64,1113 3.24,454 2.23,193 1.37,226 2.22,101 1.40,60 1.09,92 2.47,47 2.70,10 1.04,5 0.97,0 0.00,0 0.00,11 75.31
20210924,45.049,3816 0.25,7198 5.62,1107 3.22,456 2.25,193 1.37,225 2.21,103 1.42,60 1.09,93 2.48,49 2.81,9 0.94,5 0.97,0 0.00,0 0.00,11 75.30
20210917,45.150,3821 0.25,7189 5.61,1104 3.21,453 2.23,195 1.39,224 2.20,101 1.40,63 1.15,92 2.46,49 2.80,9 0.97,5 0.98,0 0.00,0 0.00,11 75.29
20210911,,3822 0.25,7167 5.59,1102 3.21,456 2.24,197 1.40,224 2.20,101 1.40,60 1.09,94 2.51,48 2.73,10 1.05,5 0.98,0 0.00,0 0.00,11 75.29
20210903,45.450,3797 0.24,7217 5.63,1104 3.21,458 2.25,198 1.40,231 2.27,103 1.43,60 1.09,91 2.45,48 2.74,9 0.96,5 0.98,0 0.00,0 0.00,11 75.28
20210827,45.099,3808 0.24,7206 5.62,1111 3.24,461 2.27,195 1.38,227 2.23,101 1.40,62 1.14,90 2.42,49 2.79,9 0.96,5 0.98,0 0.00,0 0.00,11 75.28
20210820,45.849,3807 0.24,7199 5.63,1103 3.22,461 2.27,193 1.37,224 2.20,103 1.42,65 1.19,87 2.36,49 2.82,9 0.96,5 0.98,0 0.00,0 0.00,11 75.28
20210813,46.650,3814 0.24,7193 5.62,1106 3.23,455 2.23,197 1.40,220 2.17,103 1.42,65 1.19,88 2.39,49 2.82,9 0.97,5 0.98,0 0.00,0 0.00,11 75.27
20210806,47.049,3814 0.24,7178 5.61,1103 3.21,455 2.23,199 1.41,220 2.17,103 1.42,66 1.20,89 2.43,48 2.77,9 1.00,5 0.98,0 0.00,0 0.00,11 75.27
20210730,47.099,3820 0.25,7186 5.62,1097 3.19,455 2.23,199 1.42,220 2.17,105 1.45,65 1.18,89 2.43,48 2.77,9 1.00,5 0.98,0 0.00,0 0.00,11 75.27
20210723,47.900,3820 0.25,7210 5.63,1098 3.19,457 2.24,196 1.39,225 2.22,102 1.40,65 1.18,90 2.45,48 2.77,9 0.99,5 0.98,0 0.00,0 0.00,11 75.27
20210716,,3819 0.25,7250 5.65,1100 3.20,459 2.25,196 1.40,229 2.26,99 1.36,65 1.18,88 2.38,49 2.80,10 1.13,4 0.81,0 0.00,0 0.00,11 75.26
20210709,46.849,3811 0.25,7231 5.64,1110 3.23,460 2.26,199 1.42,224 2.21,102 1.40,66 1.20,88 2.39,48 2.74,10 1.13,4 0.81,0 0.00,0 0.00,11 75.26
20210702,47.25,3802 0.25,7208 5.62,1112 3.23,462 2.27,196 1.40,224 2.21,103 1.42,63 1.15,89 2.41,49 2.79,10 1.12,4 0.81,0 0.00,0 0.00,11 75.26
20210625,,3795 0.24,7192 5.63,1116 3.24,460 2.26,199 1.42,222 2.19,103 1.42,65 1.18,90 2.44,48 2.74,10 1.10,4 0.81,0 0.00,0 0.00,11 75.26
20210618,46.299,3789 0.24,7198 5.63,1115 3.24,462 2.27,199 1.42,223 2.20,102 1.40,64 1.16,89 2.42,49 2.81,10 1.07,4 0.81,0 0.00,0 0.00,11 75.25
20210611,46.799,3782 0.24,7211 5.64,1120 3.26,458 2.25,199 1.42,222 2.19,102 1.40,64 1.16,90 2.44,48 2.73,11 1.13,4 0.81,0 0.00,0 0.00,11 75.25
20210604,46.799,3776 0.24,7222 5.65,1112 3.24,456 2.24,200 1.43,224 2.21,100 1.37,64 1.16,89 2.43,47 2.67,12 1.23,4 0.81,0 0.00,0 0.00,11 75.25
20210528,46.400,3786 0.25,7224 5.65,1110 3.23,464 2.28,200 1.44,224 2.21,101 1.38,66 1.19,90 2.45,45 2.56,12 1.23,4 0.81,0 0.00,0 0.00,11 75.25
20210521,,3780 0.25,7198 5.63,1112 3.24,457 2.25,199 1.43,227 2.25,100 1.37,64 1.16,90 2.44,46 2.57,13 1.30,4 0.81,0 0.00,0 0.00,11 75.24
20210514,45.650,3766 0.24,7149 5.61,1120 3.27,454 2.23,203 1.45,228 2.25,101 1.39,62 1.13,91 2.44,47 2.64,12 1.23,4 0.81,0 0.00,0 0.00,11 75.24
20210507,48.049,3755 0.24,7116 5.59,1109 3.23,448 2.19,205 1.46,236 2.32,102 1.41,60 1.09,90 2.41,47 2.61,11 1.11,5 0.98,0 0.00,0 0.00,11 75.29
20210429,48.5,3757 0.24,7133 5.60,1086 3.16,450 2.20,204 1.45,236 2.32,106 1.47,58 1.05,92 2.48,48 2.67,10 1.02,5 0.98,0 0.00,0 0.00,11 75.29
20210423,48.650,3756 0.24,7122 5.58,1094 3.18,456 2.23,201 1.43,232 2.28,105 1.45,60 1.09,94 2.55,47 2.62,10 1.00,5 1.01,0 0.00,0 0.00,11 75.29
20210416,47.950,3734 0.24,7134 5.56,1109 3.22,450 2.20,213 1.52,233 2.29,111 1.54,58 1.06,95 2.55,44 2.39,11 1.10,5 0.99,0 0.00,0 0.00,11 75.28
20210409,46.299,3730 0.24,7153 5.56,1103 3.18,455 2.23,210 1.49,232 2.28,113 1.56,57 1.04,97 2.60,44 2.39,11 1.09,5 0.98,0 0.00,0 0.00,11 75.28
20210401,46.599,3725 0.24,7144 5.57,1101 3.18,454 2.22,210 1.49,233 2.29,115 1.59,60 1.09,93 2.50,47 2.59,10 1.09,4 0.81,0 0.00,0 0.00,11 75.28
